337,faze-clan,FaZe Clan,FaZe
14115,500xgeldi,500xgeldi
11177,falcons,Falcons,FAL
277,crazy-raccoon,Crazy Raccoon,CR
14614,happy-game-esport,Happy Game Esport,HGE
13918,arca-do-marlow,Arca do Marlow,ADM
13224,nxt,NXT
9767,dragonslayerzzz,Dragonslayerzzz,DRAG
2,sentinels,Sentinels,SEN
13394,fog-esport,FOG ESPORT
13504,bad-sad-and-mad,BAD SAD AND MAD
14366,zerozen,ZeroZen
14370,champions-2024,Champions 2024
11883,cardume,Cardume
14525,bratan-mix,BRATAN MIX
12949,reh-gaming,REH Gaming
8741,blitz-esports,Blitz Esports,BZE
15591,uk-droids,UK droids
13795,ftw-le-a-fc-esports,FTW Leça FC Esports,FXL
8471,omnipotent-gaming,Omnipotent Gaming
14519,anita-max-wynn,Anita Max Wynn
15590,vennegjengen,Vennegjengen
4894,keyd-stars,Keyd Stars,VKS
15266,krysme-e-amigas,Krysme e Amigas
14629,tumt-shark,TUMT Shark
15202,gurrrreeeetings,GURRRREEEETINGS
13678,there-is-no-tomorrow,There is no tomorrow,TNT
15212,dingle-googy-and-friends,DINGLE GOOGY and friends
14814,future-greats,Future Greats
14706,severu2,Severu2
14432,team-what-the-f,Team What the f
14430,demury1,DEMURY1
12791,alienshooters,ALIENSHOOTERS
10356,aim-ph,AIM PH,AIM
12701,voicesareback,VOICESAREBACK
14125,sogbox,SOGBOX
14048,boomba-rosa,BOOMBA ROSA,ROSA
14737,valiant-gc,VALIANT GC,VLNT
14634,pei-wan-e-sports,PEI WAN E-SPORTS,PWE
1120,edward-gaming,EDward Gaming,EDG
9070,ghr-e-sports,GHR E-Sports,GHR
14636,yuanyoyin,yuanyoyin,YYY
2355,kr-esports,KRÜ Esports,KRÜ
13174,houdini,houdini
8050,mibr-gc,MIBR GC
14274,ruddy,Ruddy,RUD
12285,re-vast,Re:Vast
14763,the-covenant,The Covenant
13866,hanma,Hanma
11829,esports-cologne,eSports Cologne,ECO
8494,jns-gaming,JNS Gaming
14771,black-flag,Black Flag,OBF
9425,leviat-n-academy,Leviatán Academy,LEV.A
9163,cleiteam,Cleiteam,CLT
15227,after-life-esports,After Life Esports,ALE
13177,red-eye,Red Eye,RDY
11947,next-gen,Next Gen,NXG
15074,xld-gaming,XLD Gaming,XLD
14461,bar-a-esports,Barça eSports,BAR
10307,built-for-greatness,Built For Greatness,BFG
6869,igzist,IGZIST,IGZ
4958,oddik,ODDIK,ODK
11318,sendtreepay,SendTreePay,STPL
6263,guild-gc,Guild GC,GLD.GC
8448,bobo,BOBO
14452,pifpaf,PifPaf
15222,parallax,Parallax
7695,ebro-gaming,EBRO Gaming,EBG
12359,dog-nation,Dog Nation
15198,we-dont-play-anymore,WE DONT PLAY ANYMORE
8947,fraude,FRAUDE
15506,tropa-do-a,Tropa do A,TDA
6316,anorthosis-famagusta-esports,Anorthosis Famagusta Esports,ANO
14754,the-hero,THE HERO,THE
13783,vcl-rejects,VCL Rejects
13697,unity-brasil,Unity Brasil,UNT
13786,qvg-esports,qvG eSports
11247,sbg,SBG,SBG
13636,harrisburg-university,Harrisburg University,HU
12227,salamaleiko,Salamaleiko
12767,full-sense-sapphire,FULL SENSE SAPPHIRE,FSS
12751,full-house,Full House,FH
13773,mcrp-ultras,MCRP Ultras
11262,laterious,Laterious,LTS
11135,guangzhou-long-lionz,Guangzhou Long Lionz,GZL
9393,crewx,CrewX
8304,talon-esports,Talon Esports,TLN
2408,heet,HEET,HEET
15253,focusgg,FOCUSGG,FOC
14544,tribo,TRIBO,TRI
7932,onlyfins,OnlyFins,OF
14716,sad-gc,SaD GC
13763,hyderabad-hydras,Hyderabad Hydras,HH
13423,sk-l-vendetta,SKÅL Vendetta,SVN
8182,incheon-on-sla2ers,Incheon On Sla2ers,ONS
13808,attacking-soul-esports-ovo,Attacking Soul Esports OvO,ASEO
14434,hopers,hopers
13855,nyan-esports,NYAN ESPORTS
10298,xyz,xyz
11229,varrel,VARREL,VL
13164,chao-hui-edward-gaming,Chao Hui EDward Gaming,EDGS
14035,battle-bit-legends,Battle Bit Legends
6132,stanbul-wildcats,İstanbul Wildcats,IW
13395,kratos-esports,Kratos Esports,KA
13522,desperados,Desperados
14476,elevate,ELEVATE,ELV
8422,hike-digital-esports,Hike Digital Esports,HDE
9408,natus-vincere-celestials,Natus Vincere Celestials,NAVI.C
11238,twokay,TwoKay,2K
13768,mibh,MiBH
12814,plug,PLUG
14385,kimchi-fried-rice,Kimchi Fried Rice
14646,fps-players,FPS Players,FPS
15586,esports-organisation,Esports Organisation
12769,lifes-a-game,Life's a Game,LAG
1412,95x-esports,95x Esports,95x
12834,origami-team,Origami Team,ORT
15353,lag-yellow,LAG Yellow
11973,yes-im-here,Yes I'm here
8614,mizzou-esports,Mizzou Esports,MIZ
11060,nongshim-redforce,Nongshim RedForce,NS
14152,was,WaS
14010,tryingourbest,tryingourbest,TOB
14007,crocodile-tears,Crocodile Tears,TEAR
15305,astane,ASTANE
11328,funplus-phoenix,FunPlus Phoenix,FPX
14693,swingers,Swingers
15296,os-cara-cego-2-0,OS CARA CEGO 2.0,ASDF
14114,xxl,XXL
13774,tech-fleece-troopers,Tech Fleece Troopers
11249,tmu-blue,TMU Blue,TMU.B
11880,franatic,FRANATIC
14599,iam,IAM,IAM
11500,eels,EELs
15027,full-box-200,FULL BOX 200
14440,mrvzt,MRVZT
