match_id,t1,t2,t1_ban1,t1_ban2,t2_ban1,t2_ban2,t1_pick,t2_pick,remaining,t1_mapwins,t2_mapwins,net_h2h,t1_past,t2_past,date
184058,1001,2059,7,1,8,3,4,6,0,0,2,-4.0,-3.0,-5.0,2023-05-18
297256,14,624,5,6,2,1,0,8,9,0,2,-6.0,4.0,4.0,2024-02-24
314326,918,278,5,2,1,9,6,8,0,2,1,2.0,-4.0,-5.0,2024-04-27
185977,11058,10725,7,0,3,5,8,4,6,1,2,2.0,4.0,0.0,2023-03-23
295614,2359,2,9,6,5,0,2,8,1,1,2,3.0,7.0,5.0,2024-02-25
314313,17,278,1,5,9,0,8,6,2,2,0,1.0,3.0,-5.0,2024-04-15
183792,2359,7386,3,6,0,4,7,5,8,2,0,3.0,2.0,-3.0,2023-04-21
188018,6387,2112,3,0,4,8,7,6,5,2,0,6.0,8.0,1.0,2023-03-29
232732,188,2,1,0,4,6,3,7,8,2,1,-1.0,1.0,0.0,2023-07-17
167358,8185,188,3,0,6,8,7,4,5,2,1,-1.0,7.0,5.0,2023-02-18
296738,6387,918,0,1,6,2,5,9,8,1,2,2.0,0.0,-7.0,2024-02-19
183782,7386,2355,5,4,8,3,0,6,7,2,1,,-4.0,-2.0,2023-04-09
184046,2059,4915,4,6,7,5,3,8,0,0,2,-2.0,1.0,4.0,2023-04-28
184516,624,14,8,0,4,7,6,3,1,2,0,2.0,8.0,3.0,2023-05-20
297403,1001,8877,2,5,0,1,8,6,9,2,0,1.0,0.0,-2.0,2024-02-22
297255,17,5448,2,8,1,9,0,5,6,2,0,-3.0,1.0,0.0,2024-02-22
314648,2355,120,1,0,6,5,2,9,8,2,1,-1.0,5.0,0.0,2024-04-29
183786,1034,7386,0,4,6,3,7,5,8,1,2,,2.0,-2.0,2023-04-15
188042,6387,2917,0,3,1,8,4,7,6,2,0,2.0,10.0,7.0,2023-05-03
318917,397,12694,6,2,1,8,0,9,5,0,2,,0.0,4.0,2024-04-05
314641,1034,7386,0,6,5,1,8,2,9,2,0,-1.0,3.0,-3.0,2024-04-23
314622,188,2359,8,6,2,1,9,5,0,2,1,0.0,-4.0,4.0,2024-04-06
314319,918,878,9,8,1,2,6,5,0,2,0,-5.0,-5.0,-1.0,2024-04-21
282932,10725,11058,0,8,6,2,4,1,9,2,0,1.0,5.0,-4.0,2023-11-03
314329,6387,8185,0,5,9,6,1,2,8,0,2,,-5.0,4.0,2024-04-29
164057,6387,2532,3,5,0,6,8,4,7,2,0,1.0,6.0,4.0,2023-02-19
184474,14,17,7,8,5,3,0,4,6,0,2,3.0,-3.0,1.0,2023-04-16
314628,11058,120,9,0,6,2,8,1,5,0,2,,2.0,-7.0,2024-04-13
184469,5448,918,8,6,3,5,0,7,4,2,1,,-5.0,-5.0,2023-04-09
297253,5448,6199,8,1,2,9,5,0,6,0,2,3.0,3.0,3.0,2024-02-22
314632,188,5248,1,0,2,5,9,6,8,2,1,4.0,-4.0,2.0,2024-04-15
318929,2593,7035,9,8,6,0,1,5,2,2,0,2.0,1.0,-7.0,2024-04-19
169008,11058,9353,3,7,4,0,8,5,6,2,0,,2.0,1.0,2023-03-17
184463,6199,624,7,0,5,6,4,3,8,2,1,-3.0,1.0,2.0,2023-04-02
189053,188,5248,6,4,8,7,3,1,0,0,2,6.0,9.0,4.0,2023-05-24
248271,624,1184,3,1,4,6,0,7,8,2,0,,5.0,2.0,2023-08-16
167356,1034,2304,3,8,0,7,4,6,5,2,1,,0.0,3.0,2023-02-17
314310,14,8185,5,9,6,0,2,8,1,1,2,-5.0,-2.0,6.0,2024-04-13
318936,397,14419,6,2,5,0,9,1,8,0,2,-4.0,1.0,-6.0,2024-05-01
167361,8185,8304,4,8,6,7,3,0,5,2,1,3.0,7.0,2.0,2023-02-19
184470,8304,8185,4,3,6,5,8,7,0,0,2,-4.0,0.0,5.0,2023-04-09
296747,17,624,8,1,5,0,2,6,9,1,2,-2.0,0.0,2.0,2024-02-19
183798,5248,6961,3,6,5,0,8,4,7,1,2,,-6.0,4.0,2023-04-24
183793,2355,120,5,4,7,6,0,8,3,1,2,,-8.0,-2.0,2023-04-22
183794,5248,2406,5,8,6,7,3,0,4,1,2,,-3.0,1.0,2023-04-22
232734,188,2355,3,6,1,8,0,7,4,1,2,5.0,0.0,2.0,2023-07-18
184465,17,278,5,0,8,4,6,3,7,2,1,,-4.0,-7.0,2023-04-02
183804,2359,5248,3,6,1,4,7,8,0,1,2,,3.0,-5.0,2023-04-30
314316,6387,5448,5,8,2,1,9,0,6,1,2,-1.0,-5.0,-2.0,2024-04-16
184039,1184,2304,3,7,4,6,5,8,0,0,2,-2.0,4.0,0.0,2023-04-20
183812,2406,120,6,8,0,1,7,3,4,1,2,,-2.0,-4.0,2023-05-13
220295,14,1120,0,7,8,1,4,3,6,0,2,1.0,2.0,9.0,2023-06-14
184061,397,1184,0,1,6,3,7,4,8,0,2,-6.0,1.0,-2.0,2023-05-19
247102,4915,8185,4,0,7,3,1,8,6,1,2,,1.0,-4.0,2023-08-07
184498,5448,17,1,8,7,6,0,4,3,2,1,2.0,-2.0,-5.0,2023-05-14
184460,878,17,8,7,5,0,6,3,4,0,2,,-2.0,-7.0,2023-03-27
314650,2,2406,2,0,9,6,8,5,1,2,0,2.0,-1.0,-8.0,2024-05-03
307572,7386,2,1,6,2,5,0,8,9,0,2,-2.0,3.0,4.0,2024-02-26
220300,8185,1184,8,7,6,0,1,3,4,2,1,,-2.0,-1.0,2023-06-13
286749,516,6199,8,6,1,0,2,4,9,0,2,,5.0,2.0,2024-01-14
167373,2593,2406,7,8,6,3,4,0,5,2,0,1.0,8.0,-1.0,2023-02-26
